word,lemma,pos,frequency
mad,mad,ADJ,526
ooh,ooh,INTJ,525
grass,grass,NOUN,524
s,'s,PART,524
gone,gone,ADJ,524
favorite,favorite,ADJ,523
moon,moon,NOUN,523
hard,hard,ADV,522
peanut,peanut,NOUN,519
wipe,wipe,VERB,519
inside,inside,ADP,518
jenny,Jenny,PROPN,517
feed,feed,VERB,517
rock,rock,NOUN,517
about,about,SCONJ,517
hide,hide,VERB,514
engine,engine,NOUN,514
understand,understand,VERB,514
climb,climb,VERB,514
needta,need,AUX,512
lots_of,lots_of,NOUN,512
dark,dark,ADJ,511
towel,towel,NOUN,511
full,full,ADJ,509
quack,quack,NOUN,509
kangaroo,kangaroo,NOUN,509
bought,buy,VERB,508
welcome,welcome,ADJ,507
purple,purple,ADJ,507
lie,lie,VERB,503
carry,carry,VERB,501
cracker,cracker,NOUN,501
boo,boo,NOUN,501
pillow,pillow,NOUN,500
hang,hang,VERB,499
year,year,NOUN,497
tire,tire,NOUN,496
coat,coat,NOUN,493
dollars,dollar,NOUN,491
aw,aw,INTJ,491
bye,bye,INTJ,491
quiet,quiet,ADJ,491
bridge,bridge,NOUN,491
xxx,xxx,INTJ,486
works,work,VERB,486
drop,drop,VERB,486
string,string,NOUN,485
mirror,mirror,NOUN,484
running,run,VERB,483
turned,turn,VERB,482
david,David,PROPN,480
michael,Michael,PROPN,480
brush,brush,NOUN,480
stick,stick,NOUN,478
way,way,ADV,477
socks,sock,NOUN,476
ha,ha,INTJ,476
working,work,VERB,476
kid,kid,NOUN,475
be,be,VERB,474
meow,meow,NOUN,472
somewhere,somewhere,ADV,472
hunhunh,hunhunh,INTJ,471
kiss,kiss,NOUN,470
diaper,diaper,NOUN,469
donkey,donkey,NOUN,468
christopher,Christopher,PROPN,468
hammer,hammer,NOUN,468
chairs,chair,NOUN,466
enough,enough,ADV,464
dropped,drop,VERB,461
magnet,magnet,NOUN,461
taste,taste,VERB,460
xxx,xxx,X,460
nana,Nana,PROPN,460
bathtub,bathtub,NOUN,459
until,until,SCONJ,458
teacher,teacher,NOUN,457
picnic,picnic,NOUN,457
walk,walk,NOUN,457
hadta,hadta,AUX,456
pie,pie,NOUN,455
ran,run,VERB,455
few,few,ADJ,454
beautiful,beautiful,ADJ,453
santa,Santa,PROPN,453
kitty,kitty,PROPN,453
d,would,NOUN,452
dead,dead,ADJ,452
fixed,fix,VERB,452
anybody,anybody,PRON,452
dear,dear,ADJ,452
that,that,ADP,451
record,record,NOUN,450
line,line,NOUN,450
tunnel,tunnel,NOUN,450
once,once,ADV,447
look_it,look_it,PROPN,447
ummhm,ummhm,INTJ,446
peekaboo,peekaboo,PROPN,446
out_of,out_of,NOUN,445
couch,couch,NOUN,443
interesting,interesting,ADJ,443
swimming,swim,VERB,442
change,change,VERB,442
hiding,hide,VERB,442
n,and,CCONJ,441
busy,busy,ADJ,440
tower,tower,NOUN,440
grow,grow,VERB,440
giraffe,giraffe,NOUN,439
pop,pop,NOUN,439
screwdriver,screwdriver,NOUN,435
ma,ma,PROPN,435
second,second,NOUN,435
gun,gun,NOUN,433
threw,throw,VERB,433
sleeping,sleeping,NOUN,433
tall,tall,ADJ,433
clock,clock,NOUN,433
warm,warm,ADJ,430
himself,himself,PRON,429
gum,gum,NOUN,429
firstname,firstname,NOUN,429
father,father,NOUN,427
bite,bite,NOUN,427
carrot,carrot,NOUN,427
learn,learn,VERB,427
gas,gas,NOUN,426
trees,tree,NOUN,426
all_gone,all_gone,NOUN,426
un,un,PROPN,425
round,round,NOUN,425
music,music,NOUN,425
thank_you,thank_you,NOUN,425
pot,pot,NOUN,424
screw,screw,NOUN,423
hum,hum,NOUN,423
had,have,AUX,421
horses,horse,NOUN,419
neck,neck,NOUN,419
brush,brush,VERB,418
green,green,NOUN,418
sally,Sally,PROPN,418
carriage,carriage,NOUN,418
cups,cup,NOUN,417
pumpkin,pumpkin,NOUN,417
soft,soft,ADJ,417
spill,spill,VERB,416
color,color,VERB,416
sounds,sound,VERB,416
patsy,Patsy,PROPN,415
penny,penny,NOUN,415
wearing,wear,VERB,414
missed,miss,VERB,414
knife,knife,NOUN,413
wan,want,INTJ,412
driving,drive,VERB,412
true,true,ADJ,411
moo,moo,NOUN,411
through,through,ADV,410
mess,mess,NOUN,409
wha,wha,INTJ,409
scary,scary,ADJ,408
trouble,trouble,NOUN,408
days,day,NOUN,407
barn,barn,NOUN,405
balls,ball,NOUN,405
a,a,NOUN,404
june,June,PROPN,404
napkin,napkin,NOUN,404
looked,look,VERB,403
pool,pool,NOUN,401
dressed,dress,VERB,401
spider,spider,NOUN,399
lap,lap,NOUN,399
knew,know,VERB,399
oop,oop,NOUN,398
oo,oo,INTJ,398
half,half,NOUN,398
knows,know,VERB,398
what_about,what_about,INTJ,398
arms,arm,NOUN,397
jump,jump,NOUN,396
grandma,grandma,NOUN,396
garbage,garbage,NOUN,395
basket,basket,NOUN,395
eh,eh,PROPN,395
swww,Swww,PROPN,394
lamb,lamb,NOUN,393
happening,happen,VERB,393
poo,poo,NOUN,392
couple,couple,NOUN,392
falling,fall,VERB,392
care,care,NOUN,392
walking,walk,VERB,391
p,p,NOUN,391
birds,bird,NOUN,391
able,able,ADJ,391
letters,letter,NOUN,390
ernie,Ernie,PROPN,389
pocket,pocket,NOUN,389
birdie,birdie,NOUN,388
done,done,ADJ,388
family,family,NOUN,387
bubbles,bubble,NOUN,387
hafta,hafta,INTJ,386
sky,sky,NOUN,386
ouch,ouch,INTJ,385
brittany,Brittany,PROPN,385
pee,pee,NOUN,385
moving,move,VERB,385
boots,boot,NOUN,385
shoot,shoot,VERB,384
santa_claus,Santa_Claus,PROPN,383
cover,cover,VERB,381
camera,camera,NOUN,381
standing,stand,VERB,381
middle,middle,NOUN,381
hurts,hurt,VERB,380
share,share,VERB,380
without,without,ADP,380
believe,believe,VERB,380
dump,dump,VERB,378
ahhah,ahhah,INTJ,378
yum,yum,INTJ,378
wish,wish,VERB,377
pipe,pipe,NOUN,376
flying,fly,VERB,376
lights,light,NOUN,374
star,star,NOUN,373
melissa,Melissa,PROPN,372
m,m,NOUN,372
circus,circus,NOUN,372
do,do,NOUN,372
kinds,kind,NOUN,371
_of,_of,NOUN,370
